"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"				  FL",S,PENSACOLA GULF COAST REGIONAL,PNS,9/30/22,4/24/23,370288,0,3329561,0,904811,0,1800217,6404877,39073,0,245954,252807,0,0,110090,96000,743924,7148801,331250,932465,588694,172766,7199819,8091571,199220,4269806,21785591,28934392,4746587,4771850,339121,5948788,0,719700,16526046,11791303,28317349,617043,632631,-1376595,49347945,4808704,5025209,0,-8989,58428905,59045948,199175732,2.5822168E+8,331261,493673,2082077,780849,50139820,53827680,36981000,0,0,36981000,3369612,0,19037500,22407112,753712,0,0,3922665,2290429,1223137,1427340,0.29,120061,5.24,64,596211,231926,1474898,712106,
"				  AR",N,FORT SMITH REGIONAL,FSM,12/31/22,4/17/23,100904,0,111666,0,0,0,0,212570,0,810,343968,197451,126132,100846,87600,6770,863577,1076147,491622,0,0,170894,628783,348218,0,0,1639517,2715664,996538,314207,171368,916665,103065,16581,2518424,2349321,4867745,-2152081,420836,-52512,19004188,248249,0,0,-4096,19616665,17464584,54559986,7.202457E+7,16526952,102356,0,0,297889,16927197,0,0,0,0,0,0,37856,37856,8748011,0,0,0,0,61719,8.072335E+7,1.25,24682,3.44,15,87600,0,276220,134213,
"				  GA",N,SOUTHWEST GEORGIA REGIONAL,ABY,6/30/22,12/27/22,77635,0,114207,0,0,0,0,191842,183157,0,48000,51224,0,38741,24203,28697,374022,565864,10200,0,0,6663,429773,294819,0,77,741532,1307396,1326570,306704,414979,178072,86868,238217,2551410,1775523,4326933,-3019537,6300,0,7781877,896,0,0,88404,7877477,4857940,46686375,51544317,157239,299501,0,0,5922964,6379704,0,0,0,0,0,0,0,0,880520,0,0,0,0,36302,2.910664E+8,1.55,15803,5.28,15,512409,512409,137897,0,
"				  MI",N,BISHOP INTL,FNT,12/31/22,6/9/23,286010,0,832886,0,0,0,75481,1194377,103596,10752,108918,982748,0,14092,67810,232968,1520884,2715261,444906,45931,31822,1280,1486130,3579878,0,58225,5648172,8363433,5326120,1303792,354450,4181824,330645,363514,11860345,7623025,19483370,-11119937,94515,-195669,7310760,1329065,0,0,4733721,13272392,2152455,129828986,131981441,3746515,1443011,0,0,1704326,6893852,2295000,0,0,2295000,69027,0,1457578,1526605,15172398,0,79000,2388694,2253556,299865,386452844,1.17,47448,3.98,40,1269306,1221567,363514,1249217,
"				  NE",M,EPPLEY AIRFIELD,OMA,12/31/22,4/25/23,8597063,0,8909299,0,127275,0,0,17633637,1807921,0,1509837,1829526,0,428236,0,838635,6414155,24047792,0,1020090,1516175,457562,6362623,25028273,0,271674,34656397,58704189,18851062,1873857,1861345,4045378,926917,497630,28056189,21411918,49468107,9236082,-4258339,-2115471,37098057,8927079,0,917748,2900538,43469612,52705694,447406568,5.0011226E+8,1920537,9477108,7201553,11666266,726241,30991705,30896593,0,0,30896593,4666033,0,40880410,45546443,164308604,0,0,33881599,31392599,2248013,2942548952,3.51,100632,7.84,170,4823153,2996201,6758291,0,
"				  ND",N,HECTOR INTL,FAR,12/31/22,12/27/23,282023,0,576884,0,0,0,901751,1760658,245879,0,211162,394205,0,71676,130140,478748,1531810,3292468,483819,240261,129712,48260,1536162,4527156,0,135200,7100570,10393038,2984610,635539,1724414,1717909,157996,130408,7350876,5261610,12612486,-2219448,426305,0,21567802,1905429,0,0,1323459,25222995,23003547,156749315,167777944,2416153,1035615,3822662,0,555663,7830093,0,0,0,0,0,0,0,0,44814169,0,3602,0,0,455512,846044893,0.55,84880,3.87,28,537389,1088483,4130526,250079,
"				  HI",N,KALAUPAPA,LUP,6/30/22,2/9/23,24786,0,0,0,0,0,0,24786,0,0,0,0,952,0,0,0,952,25738,0,0,0,0,0,0,0,0,0,25738,627946,10059,20233,33061,7413,152600,851312,151690,1003002,-977264,7558,-44414,23451,0,0,0,2,-13403,-990667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179506,0,115046,115046,4052,13201,0,0,6.12,7,0,601819,77077,0,
"				  MI",N,KALAMAZOO/BATTLE CREEK INTL,AZO,12/31/22,9/18/23,124023,0,837451,0,9365,0,0,970839,0,0,133480,324680,0,61635,89990,15976,625761,1596600,109884,22618,0,1804,985821,874812,0,3950,1998889,3595489,2133426,2558172,90785,1184960,42672,935592,6945607,2308220,9253827,-5658338,1114,0,6033524,235893,0,0,15802,6286333,627995,55303416,58074819,1208261,69557,0,1258119,0,2535937,0,0,0,0,0,0,411892,411892,0,0,0,2150188,2150188,72693,9.138045E+7,1.49,52162,13.36,16,433776,311253,380567,59209,
"				  MT",N,Glacier Park International,GPI,6/30/22,12/27/22,704142,0,1003539,0,0,0,145570,1853251,28424,122732,172610,241788,0,314297,116800,2027,998678,2851929,254841,230164,171065,211759,4302453,2679672,0,165712,8015666,10867595,3239631,375477,1121977,691741,214752,317078,5960656,3198571,9159227,1708368,26173,-3507,20812576,1771736,0,-832256,391260,22165982,23874350,74014961,97768657,0,0,0,0,23196633,23196633,0,458653,0,458653,2902917,0,0,2902917,9259157,0,0,0,0,442592,511444629,1.42,39505,4.19,36,472278,641364,756568,0,
"				  PA",N,READING REGIONAL/CARL A SPA,RDG,9/30/22,3/29/23,16498,0,0,0,0,0,0,16498,0,0,301327,756651,0,99583,0,0,1157561,1174059,635922,44111,0,43375,136800,0,0,737258,1597466,2771525,977119,106727,165175,304626,148259,35963,1737869,2648499,4386368,-1614843,443839,-92243,0,0,1530934,0,-928314,954216,-660627,32207173,31546546,1531512,0,0,0,105912,1637424,3322936,0,0,3322936,0,0,806424,806424,2343725,0,0,311392,0,0,0,0,0,0,0,0,0,19104,0,
"				  NM",N,FARMINGTON MUNI,FMN,6/30/22,10/21/22,5673,0,0,0,43730,0,0,49403,0,0,0,222059,0,19965,0,0,242024,291427,33873,47575,0,0,16644,0,0,0,98092,389519,438269,106576,37155,7655,0,468663,1058318,0,1058318,-668799,139,0,7858067,0,0,0,468818,8327024,7658225,0,0,7798993,0,0,0,0,7798993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74873,5180,
"				  IA",S,DES MOINES INTL,DSM,12/31/22,6/20/23,4774123,0,4512201,0,1885660,0,1721095,12893079,905961,0,2212983,1673016,0,1720045,119640,0,6631645,19524724,0,648749,887456,348470,3835079,16871534,0,-117358,22473930,41998654,6517972,0,4572158,18725206,0,0,29815336,16162957,45978293,-3979639,2783933,0,20633948,5760704,0,0,1889407,31067992,27088353,366627818,393716172,29894835,7359176,1421725,11472669,135268,50283673,0,0,0,0,0,0,0,0,67825737,0,0,0,0,1404487,1.830507E+9,3.44,68198,9.18,59,2594763,1257724,0,52340,
"				  MD",L,BALTIMORE-WASHINGTON INTL,BWI,6/30/22,1/23/24,56751119,0,50300495,0,2724138,3359944,14645120,127780816,7361562,0,1186510,5381684,0,1731063,0,2680362,18341181,146121997,6687889,12028265,5154970,3635427,18538174,70895148,2083,86679891,203621847,349743844,48522489,13943217,4607487,1.235492E+8,2051514,8250127,200924034,75022021,275946055,73797789,417687,-23678906,9.727605E+7,39019393,0,0,8415032,121449256,195247045,377294162,647563189,1.901301E+7,7513895,4013224,0,8292153,38832282,720165000,22617822,2.463E+7,767412822,97317690,0,312806502,410124192,0,199633828,0,66525675,7166113,10694176,1.338678991E+10,4.56,213815,11.95,431,31515098,14869619,30867893,2694511,
"				  MS",N,TUPELO REGIONAL,TUP,9/30/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AL",N,DOTHAN,DHN,9/30/22,2/27/23,37448,0,317559,0,0,0,0,355007,6399,0,159077,0,0,158187,0,37434,361097,716104,1159449,18281,3551,0,585336,212066,0,114848,2093531,2809635,1441721,196507,23636,0,83566,485155,2230585,0,2230585,579050,22196,-22197,2809825,159333,766770,0,0,3735927,4314977,29855621,29616809,1923673,0,0,0,0,1923673,338886,0,0,338886,0,0,374834,374834,0,0,0,663438,0,48121,1.8E+7,0.8,81906,7.38,23,199843,325746,207024,48121,
"				  MS",N,KEY FIELD,MEI,9/30/22,3/21/23,0,0,99373,0,0,0,356111,455484,0,0,69026,5853460,0,2628592,21730,0,8572808,9028292,429089,15814,0,0,11340,28253,0,154753,639249,9667541,4738453,216736,388054,209932,309974,2991058,8854207,2637180,11491387,-1823846,9548,-30677,9896050,61815,0,0,-105000,9831736,8007890,38307511,46315401,19673398,0,0,0,315295,19988693,4233360,0,0,4233360,0,0,0,0,2493051,0,0,131767,131767,0,0,0,0,0,0,0,0,0,0,
"				  MS",N,MID DELTA REGIONAL,GLH,9/30/22,3/10/23,68605,0,221774,0,0,0,0,290379,0,0,0,0,0,0,12322,0,12322,302701,77000,0,0,0,675,0,0,0,77675,380376,374,158360,23368,36617,149283,9321,377323,0,377323,3053,0,0,2410968,6872,0,0,0,2417840,2420893,0,0,320111,0,0,0,40335,360446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  TX",N,CORPUS CHRISTI INTL,CRP,9/30/22,3/24/23,1124996,0,1897679,0,403449,0,0,3426124,0,0,310282,0,0,452057,80400,327548,1170287,4596411,1299317,274899,90591,39446,2093507,2380862,0,780511,6959133,11555544,5249291,489064,1123329,2368697,360612,201108,9792101,7358122,17150223,-5594679,-11619,-311425,14163839,1248218,0,0,-623097,14465916,8871237,183006734,191877971,4789646,5450814,0,0,54705,10295165,16266592,37226,0,16303818,0,0,3706596,3706596,10436491,0,6226,2156583,1027587,326779,3.7656823E+8,2.87,79992,10.48,86,2508800,2508800,185269,180837,
"				  KS",N,SALINA MUNI,SLN,12/31/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  FL",S,SARASOTA/BRADENTON INTL,SRQ,9/30/22,3/28/23,21945,0,6681519,0,299173,0,0,7002637,0,0,1335550,1320139,0,845086,39840,0,3540615,10543252,1864893,1313555,1078811,761599,10949448,9764084,87,8084479,33816956,44360208,14854674,1373412,1002537,3797759,841167,4973961,26843510,10442139,37285649,7074559,211386,0,16297454,7572430,0,0,-962251,23119019,30193578,218674723,248868301,5639690,6642337,3945319,1342138,3400968,20970452,0,0,0,0,0,0,14735957,14735957,55046675,0,0,0,0,1880201,2083538113,0,157746,3.72,149,2073261,1746738,8492741,1931820,
"				  WI",N,RHINELANDER-ONEIDA COUNTY,RHI,12/31/22,4/30/23,136976,0,216120,0,0,0,0,353096,27968,504,12000,34449,0,21429,0,0,96350,449446,4410,1151,0,37320,107972,168264,0,-6384,312733,762179,694626,129883,226991,140491,53126,56130,1301247,0,1301247,-539068,3975,0,918647,24997,394162,0,0,1341781,802713,0,0,22140,452146,279677,0,27170,781133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  PA",N,LANCASTER,LNS,12/31/22,4/27/23,0,0,203113,0,0,0,0,203113,0,0,314395,970157,0,6519235,0,5679,7809466,8012579,975165,62981,0,0,144728,0,0,0,1182874,9195453,1610157,159269,4755099,72518,383923,457044,7438010,1764813,9202823,-7370,34388,0,7684475,28549,0,0,0,7747412,7740042,56815929,64555971,8319217,0,0,0,368436,8687653,0,0,0,0,4661,0,0,4661,0,0,0,0,0,5973,0,0,105283,34.01,0,0,0,222580,93989,
"				  CA",N,MEADOWS FIELD,BFL,6/30/22,3/7/23,241675,0,417114,0,0,0,1800,660589,54990,35520,316200,137706,0,342082,65444,902985,1854927,2515516,529767,20027,10380,35922,1263863,1084725,0,256796,3201480,5716996,2250508,662341,172890,112631,157853,644844,4001067,5059200,9060267,-3343271,47147,-77323,1279460,619901,633064,0,637731,3139980,-203291,-3192485,-3395776,854991,49427,0,0,399121,1303539,2405871,0,0,2405871,0,0,0,0,4740300,0,0,555408,239042,114049,2363083,1.8,70810,5.79,22,844509,0,1059798,41281,
"				  TX",L,GEORGE BUSH  INTERCONTINENTAL,IAH,6/30/22,12/13/22,64107583,0,63735487,0,11947754,31903502,30721155,202415481,6011618,0,1761096,3127179,0,258459,2618,0,11160970,213576451,1.178156E+7,9525745,6739314,3195549,27190584,8.705616E+7,2605099,8406299,156500310,370076761,54185307,21521529,5328235,1.3551892E+8,5238210,10226798,232018999,128359142,360378141,9698620,-35252787,-58811764,3.50881E+7,76422231,0,0,127493057,144938837,154637457,1463392425,1618029882,21737027,164629526,218107,14127493,52584072,253296225,1732402990,193354041,6.068E+7,1986437031,372848564,0,1184613293,1557461857,298512493,0,0,134315566,90378377,19812392,26935882011,2.63,422143,10.22,821,22887103,15815237,89918564,192985,
"				  TX",N,ELLINGTON FIELD,EFD,6/30/22,12/13/22,0,0,0,0,275,0,0,275,0,0,587427,679593,0,333463,0,0,1600483,1600758,358233,0,0,0,9087,0,0,188929,556249,2157007,2530407,1109281,676067,1544959,95838,552078,6508630,6186418,12695048,-10538041,-646641,-2367295,0,0,0,0,1341539,-1672397,-12210438,-87722216,-99932654,0,0,0,0,32953243,32953243,79748758,0,0,79748758,-25006763,0,-76034040,-101040803,5461567,0,927568,5498173,5498173,1,27320,0.75,79164,275,29,0,0,4271081,94429,
"				  TX",M,WILLIAM P HOBBY,HOU,6/30/22,12/13/22,18637611,0,14253485,0,16064342,0,-840300,48115138,516,0,4030320,522138,0,1113392,148365,0,5814731,53929869,1479024,1.108242E+7,4851695,1433086,8116144,26553278,0,1493812,55009459,108939328,22800772,5043025,2797436,4.255568E+7,1661425,2615393,77473731,32246028,109719759,-780431,-11210021,-15526011,5013761,22023748,0,0,22393664,22695141,21914710,257713183,279627893,7429806,0,381594,0,243841,8055241,521294533,7638477,0,528933010,64451124,0,195966158,260417282,94680445,0,0,36079641,20197983,6267704,6.90033838E+9,2.69,189627,7.68,323,10269341,5121716,32840337,61210,
"				  IL",N,CAPITAL,SPI,6/30/22,12/12/22,92551,0,30338,0,0,0,0,122889,0,0,0,523869,0,195011,151840,2041352,2912072,3034961,0,7503,525983,7658,415719,0,0,524950,1481813,4516774,2872196,448540,690915,605706,88315,336526,5042198,4815651,9857849,-5341075,25474,-295714,4637235,348720,0,0,4176511,8892226,3551151,73657982,77209133,636125,1762077,0,0,1819222,4217424,4325000,6543099,0,10868099,0,0,602212,602212,10406878,0,0,1852460,1852460,75576,87735163,1.58,784971,1.63,42,0,0,78130,281786,
"				  WI",N,CHIPPEWA VALLEY REGIONAL,EAU,12/31/22,4/26/23,41359,0,89641,0,0,0,26000,157000,0,0,127970,214200,0,114222,0,14243,470635,627635,41656,26906,0,51302,198361,181131,0,3212,502568,1130203,586260,292974,214768,202404,74644,0,1371050,0,1371050,-240847,0,0,0,87871,534594,0,0,622465,381618,0,0,13279,30802,107170,0,261864,413115,0,0,0,0,0,0,0,0,3018158,0,25,0,0,0,0,0,0,0,0,0,0,0,0,
"				  NV",N,HENDERSON EXECUTIVE AIRPORT,L15,6/30/22,3/23/23,0,0,84131,0,0,0,0,84131,0,0,720326,0,0,5023982,0,33372,5777680,5861811,801901,6000,0,590,66636,8429,0,395149,1278705,7140516,1871768,376855,212463,130078,38642,538385,3168191,283083,3451274,3689242,-440217,0,0,0,0,0,0,-440217,3249025,0,0,343207,0,0,0,35108,378315,0,0,0,0,0,0,0,0,12884546,0,0,0,0,40,64400,0,79971,2,103.28,31,57519,0,124485,"	"
"				  NV",N,NORTH LAS VEGAS,VGT,6/30/22,3/23/23,0,0,24445,0,0,0,0,24445,0,0,562672,0,0,1779184,0,8146,2350002,2374447,1380626,6000,0,399,8632,52334,0,172072,1620063,3994510,1577104,636147,311296,1648016,35919,548651,4757133,317351,5074484,-1079974,-152621,0,0,0,0,0,0,-152621,-1232595,0,0,-1518793,0,0,0,682473,-836320,0,0,0,0,0,0,0,0,4261081,0,0,0,0,0,0,0,178830,0,21,57072,0,411849,47,
"				  WI",M,GENERAL MITCHELL INTL,MKE,12/31/22,6/29/23,10689283,0,7760613,0,990843,174060,0,19614799,2083774,59733,1304465,1480607,0,117985,224640,0,5271204,24886003,1616932,1802883,1391493,655596,11057681,27109778,0,930546,44564909,69450912,24070065,5713041,4383507,14834884,1723239,14794726,65519462,19011257,84530719,-15079807,933595,-5667069,18546948,10779818,-1.18E+07,0,2015462,14813754,-266053,3.0159836E+8,302571345,5594156,1564948,2582782,0,544378,10286264,101195000,0,0,101195000,22982129,0,19943613,42925742,77295008,0,0,17510831,9224581,2720768,3682933128,3.48,89942,7.21,246,10490266,3549217,4513494,618869,
"				  KY",N,OWENSBORO-DAVIESS COUNTY,OWB,6/30/22,6/30/23,71649,0,16764,0,0,0,0,88413,0,0,250313,0,0,17282,5110,10779,283484,371897,168011,2190,0,6900,3916,78281,0,6827,266125,638022,536849,86024,158640,127065,56542,18080,983200,1294395,2277595,-1639573,11237,0,914324,0,250370,-3089,0,1172842,-466731,34166755,34168148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  CO",N,EAGLE COUNTY REGIONAL,EGE,12/31/22,7/28/23,993394,0,2742440,0,0,0,42802,3778636,0,824261,2501382,206073,846664,521107,0,471886,5371373,9150009,350130,402753,0,135032,3064290,886183,0,128143,4966531,14116540,2930402,539544,637521,2954781,133487,461563,7657298,8612113,16269411,-2152871,722919,-1625341,2939275,755990,0,0,-53896,2738947,586076,113537024,114123099,829949,204985,0,0,515064,1549998,33017856,0,0,33017856,3814748,0,31049737,34864485,700587,0,-53896,2461183,2313053,219963,308507431,3.22,55175,17.18,25,0,992707,1455062,73803,
"				  NV",S,RENO/TAHOE INTL,RNO,6/30/22,12/22/22,7126991,0,7009209,0,205276,131857,1815339,16288672,2019505,208519,27720,1006502,294018,297356,436030,1523774,5813424,22102096,3570476,1385576,864976,2326434,12071557,14004586,0,914155,35137760,57239856,29617923,3022520,2469149,7338185,1138608,1712255,45298640,20901775,66200415,-8960559,-1491248,-399857,22120001,8502997,5159,0,20833968,49571020,40610461,0,0,2.446977E+7,3937840,2878799,0,9627858,40914267,0,0,0,0,0,0,28495276,28495276,81178587,0,15080,0,0,2079818,3077337,3.04,44896,7.83,276,6065940,4031883,11235137,2413859,
"				  SD",N,PIERRE REGIONAL,PIR,12/31/22,3/28/23,13577,0,160657,0,0,0,26986,201220,0,0,0,26243,0,13021,13086,0,52350,253570,56902,4207,0,0,0,0,0,92605,153714,407284,555636,100248,33219,745517,0,0,1434620,1445862,2880482,-2473198,1223,0,375031,59919,0,0,55363,491536,-1981662,0,0,0,0,0,0,154313,154313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  MI",N,CHERRY CAPITAL,TVC,12/31/22,6/23/23,354580,0,1660707,0,119133,0,0,2134420,0,145081,0,117260,0,281192,0,74927,618460,2752880,550449,82759,34676,201252,1732717,2346746,0,383418,5332017,8084897,3561966,759377,358807,1462452,172290,196,6315088,3536750,9851838,-1766941,370994,0,7607030,1124426,0,0,5497905,14600355,12833414,7.459345E+7,80387593,5802099,389750,0,0,0,6191849,0,0,0,0,0,0,2217967,2217967,11360591,0,787,0,0,293877,2.7701563E+8,1.28,86361,7.26,25,182478,511182,892398,641690,
"				  VT",N,RUTLAND STATE,RUT,6/30/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  UT",N,CANYONLANDS FIELD,CNY,12/31/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  IN",M,INDIANAPOLIS INTL,IND,12/31/22,6/29/23,10503253,0,35135708,0,1985466,0,0,47624427,16501489,0,0,3423212,0,426577,0,2126560,22477838,70102265,16043123,4019137,3598437,1128278,11525984,59561731,0,5356465,101233155,171335420,41734637,13276081,9915269,32231835,1790784,267272,99215878,110987711,210203589,-38868169,3.058559E+7,-32656433,101785163,1.774013E+7,0,0,60558802,178013252,139145083,1383313317,1.5224584E+9,88181079,2702721,7230913,144233,10587924,108846870,1005961041,0,0,1005961041,89156379,0,95036003,184192382,97015593,256172313,4453665,76760477,64476433,4345413,12029525436,2.23,193634,10.96,477,7368273,6140322,8096535,1920296,
"				  NY",N,ELMIRA/CORNING REGIONAL,ELM,12/31/22,6/21/23,376180,0,395756,0,12950,0,0,784886,0,115998,188945,167785,0,101982,32510,237654,844874,1629760,59710,0,0,6313,576153,526875,0,46753,1215804,2845564,1323264,279903,130869,408005,65647,732399,2940087,5313339,8253426,-5407862,119,-64868,3143427,341928,0,0,0,3420606,-1987256,91319004,89331748,1731191,73052,44043,0,652098,2500384,1776497,2619760,0,4396257,0,0,10955,10955,0,0,0,311620,0,81746,151578591,2.98,15335,9.6,16,88242,64060,201915,109385,
"				  LA",N,LAFAYETTE REGIONAL,LFT,12/31/22,8/1/23,967180,0,2276674,0,0,0,0,3243854,490564,0,0,1091310,0,146624,0,2188040,3916538,7160392,479870,180304,0,554942,1235860,1893963,0,3987650,8332589,15492981,2232446,1089030,104737,4879140,620410,699086,9624849,12565527,22190376,-6697395,704942,0,15210254,921094,0,0,1040010,17876300,11178905,3.1729693E+8,328475835,8469803,25526981,2126814,54264,8745914,44923776,0,0,0,0,0,0,0,0,0,0,0,0,0,231029,0,0,0,14.04,24,1169614,734351,1526679,442447,
"				  KY",M,CINCINNATI/NORTHERN KENTUCKY,CVG,12/31/22,6/28/23,9002324,0,12488381,0,5085927,0,599697,27176329,19333348,76202,488055,5202990,0,0,484102,247592,25832289,53008618,1855225,2589828,1964358,1128826,7452989,55272096,138407,3127419,73529148,126537766,53410494,9827861,7883966,41825298,1621923,1470513,116040055,45358274,161398329,-34860563,1630266,-6783129,6733722,15319217,3.099602E+7,-1140042,14643568,61399622,26539059,849350027,875889086,31654689,2805880,2724564,1683547,10148169,49016849,67161862,0,1.0105E+8,168211862,15125866,0,139337823,154463689,148891881,0,1850491,13449717,824548,3782857,13500516961,2.08,145606,7.18,451,12150466,10046067,6902781,2731879,
"				  ND",N,BISMARCK MUNI,BIS,12/31/22,4/27/23,745487,0,675053,0,0,0,479299,1899839,10520,0,0,0,0,157917,114489,134732,417658,2317497,498503,114739,0,222,1017870,1520254,0,19360,3170948,5488445,2362418,404464,520164,1404142,68747,1490634,6250569,4098260,10348829,-4860384,95043,0,15684507,1024689,0,0,69318,16873557,12013173,135218502,147174347,1.041571E+7,0,0,738430,180698,11334838,0,0,0,0,0,0,0,0,9307315,0,0,0,0,241927,268191554,1.1,33167,7.85,23,586852,638923,1175861,143203,
"				  WA",N,WILLIAM R FAIRCHILD INTL,CLM,12/31/22,2/10/23,0,0,0,0,0,0,0,0,9685,0,58965,180470,0,10910,0,0,260030,260030,1397664,0,0,0,0,0,0,0,1397664,1657694,528270,183030,64249,55249,178340,24327,1033465,1071251,2104716,-447022,0,0,360744,1743,1134959,0,0,1497446,1050424,2.460974E+7,23547273,0,0,0,0,1134959,1134959,0,0,0,0,0,0,62278,62278,0,0,0,366503,0,0,0,0,0,0,0,0,0,0,0,
"				  NH",N,LEBANON MUNI,LEB,12/31/22,3/1/23,196134,0,122698,0,173422,0,0,492254,0,250546,0,118325,0,54879,0,7153,430903,923157,43200,19488,0,0,156204,7798,0,0,226690,1149847,698912,102184,87992,84664,0,142983,1116735,0,1116735,33112,0,0,0,41718,0,0,0,41718,74830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66579,0,0,0,0,0,0,0,0,0,0,0,
"				  IL",L,CHICAGO MIDWAY INTERNATIONAL,MDW,12/31/22,6/29/23,5.515016E+7,0,80423682,0,99200,0,0,135673042,0,0,9115450,1674744,0,3946191,777167,20633334,36146886,171819928,754948,9685170,5079319,114893,8913092,35900584,0,155316,60603322,232423250,79565488,7077483,2490677,2.353479E+7,3236671,69859131,185764240,57345001,243109241,-10685991,-9654520,-68204956,43485286,3.656639E+7,0,0,4830222,7022422,-3663569,-340517796,-344181364,3701980,2124817,1308003,2799896,2114781,12049477,1543404278,0,0,1543404278,219810285,0,178335311,398145596,62599628,4348000,0,138868226,6.846E+7,9946882,10772426188,5.27,214427,13.64,322,0,0,53816388,0,
"				  WV",N,RALEIGH COUNTY MEMORIAL,BKW,6/30/22,2/9/24,4800,0,11928,0,0,0,0,16728,6785,0,0,99915,0,470961,28040,74468,680169,696897,127971,0,0,0,74560,513,0,0,203044,899941,581218,130775,89440,178437,42330,23273,1045473,878880,1924353,-1024412,2482,-7918,14500,0,0,0,60031,69095,-955317,48299818,47344501,6805,0,0,0,16110,22915,0,112679,0,112679,0,0,0,0,901041,0,57000,0,0,0,0,0,0,0,0,25880,17050,85936,2678,
"				  NJ",N,TETERBORO,TEB,12/31/22,6/6/23,0,0,0,0,0,0,24840,24840,0,19845278,0,0,0,1.271286E+7,0,26240831,58798969,58823809,2153106,0,0,0,0,0,0,93442,2246548,61070357,13905061,1020688,1122269,10243936,476350,4726080,31494384,22544502,54038886,7031471,0,0,1492285,0,0,0,-8012066,-6519781,511690,0,0,22283677,0,0,0,-104614,22179063,0,0,0,0,0,0,0,0,16233855,1.203565E+7,0,1.128328E+7,1.128328E+7,0,0,0,0,0,24,8570450,8584522,8471523,16790,
