"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"				  AK",N,KENAI MUNI,ENA,6/30/22,1/25/23,263005,0,172247,0,138541,0,0,573793,157427,0,0,0,10091,29458,0,0,196976,770769,840316,0,0,27796,140025,224144,0,58203,1290484,2061253,856090,393110,257280,163996,114235,1188979,2973690,2293403,5267093,-3205840,-3553871,0,3041589,0,0,0,330711,-181571,-3387411,98213501,9.482609E+7,441946,4929,0,0,1820466,2267341,0,0,0,0,0,0,0,0,0,0,0,0,0,74985,0,1.79,53231,7.65,7,246290,455200,132000,0,
"				  VA",S,RICHMOND INTL,RIC,6/30/22,12/22/22,3922332,0,6431692,0,463575,0,0,10817599,882932,0,700490,3453777,0,153544,0,144802,5335545,16153144,1515233,1399492,1595105,1198979,9487673,23307706,0,315122,38819310,54972454,1.236401E+7,2873864,681712,6083136,791155,2840283,25634160,28159512,53793672,1178782,632433,-1779663,21152041,8154303,0,0,1028822,29187936,30366718,483535247,513901966,10598261,4527684,245614,918343,3048038,19337940,49102000,0,0,49102000,31661502,0,68093698,99755200,39490363,0,0,11574271,6453330,1950390,2285219,1.57,95000,5.55,134,2305578,1590228,1900350,1030285,
"				  ME",S,PORTLAND INTL JETPORT,PWM,6/30/22,10/31/23,3377216,0,3014734,0,0,0,0,6391950,282359,301623,335082,136824,0,0,124555,824780,2005223,8397173,521783,552375,732832,125669,5016805,7857382,0,18061,14824907,23222080,6086176,1268422,905087,4665771,163706,2130014,15219176,9715848,24935024,-1712944,641782,-3299479,6315542,4547262,0,0,0,8205107,6492163,178659486,192084764,1800014,431497,456281,0,61986,2749778,92465000,0,0,92465000,13565666,0,5590663,19156329,32343781,0,0,6361400,2249100,980634,1232796,3.35,13823,6.52,44,1148819,2624199,1215313,353233,
"				  FL",L,TAMPA INTL,TPA,9/30/22,3/22/23,25656901,0,62191192,0,0,1495440,12094160,101437693,3669409,0,4196566,5332975,0,908791,946749,5827293,20881783,122319476,7765613,17853516,10036528,3195140,54111629,88280138,1991681,2259194,185493439,307812915,84252689,14233037,4741376,48791576,5304744,10338450,167661872,167618968,335280840,-27467925,1859082,-67560375,38845759,42032115,0,-17121351,78001400,76056630,48588705,1212384787,1260973492,8111403,1.0529584E+8,11334229,8654941,40918338,174314751,1718745400,0,0,1718745400,133098948,0,447121493,580220441,342127918,811697834,161925,109570792,81064203,10688831,12688662,2.4,214305,9.49,669,17270051,5848547,4.721893E+7,2728392,
"				  ID",N,POCATELLO REGIONAL,PIH,9/30/22,1/25/23,35701,0,119460,0,0,0,0,155161,14365,7302,29206,40416,0,40115,0,33816,165220,320381,277956,0,0,9900,77100,0,0,2139751,2504707,2825088,798876,208291,122078,1264792,72569,6148,2472754,0,2472754,352334,0,0,438504,35886,0,0,1391720,1866110,2218444,0,0,2466927,0,0,0,0,2466927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  KS",S,WICHITA DWIGHT D EISENHOWER NATIONAL AIRPORT,ICT,12/31/22,6/29/23,2547208,0,3503232,0,164050,0,0,6214490,755036,0,1126349,3760396,0,843554,117232,174314,6776881,12991371,2882235,430951,215025,321844,4669487,7819573,223068,1515252,18077435,31068806,11216275,3458242,1144133,3187397,597164,2978622,22581833,12134333,34716166,-3647360,226676,-5237262,18580063,3132597,0,0,1311770,18013844,14366484,206232691,2.2297346E+8,4223927,0,2897764,0,3702205,10823896,127655787,0,7189769,134845556,0,0,17063784,17063784,35119628,0,0,9228498,5159061,768837,1158083624,2.95,109448,8.08,123,5022477,0,687394,475722,
"				  PA",M,PITTSBURGH INTERNATIONAL,PIT,12/31/22,4/27/23,15933426,0,24767346,0,1800654,388844,2609090,45499360,2527918,1029049,1009457,6505431,0,387534,398460,4193051,16050900,61550260,4864473,1983506,5953966,3235165,13979966,51889069,498548,2691967,85096660,146646920,70501524,1.139379E+7,5631698,60974354,1280561,8066547,157848474,50327603,208176077,-61529157,13602775,-28085474,41657764,15867688,-1521021,0,28312564,69834296,8305139,613635848,621940987,11141848,300158819,1108233,103696,28779849,341292445,1004331344,39301286,4958473,1048591103,407825,0,33280720,33688545,153233895,0,0,28085474,0,4053690,5413022641,3.4,121650,11.22,416,16383445,5776058,44171698,7062768,
"				  CA",N,VISALIA MUNI,VIS,6/30/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  MO",M,LAMBERT-ST LOUIS INTL,STL,6/30/22,1/31/23,42625986,0,6508347,0,172245,590201,0,49896779,3533081,0,1524224,3917648,0,236928,433546,0,9645427,59542206,2169916,5645209,5026649,1342476,11873169,28613185,0,519690,55190294,114732500,35236738,6679259,3998431,31784215,3614928,0,81313571,58244011,139557582,-24825082,-2999517,-18031514,12449029,23248686,0,0,14629233,29295917,4470835,1150503155,1.15497399E+9,8283395,3267374,1630486,56432,3892023,17129710,550575957,0,0,550575957,137353625,0,65048455,202402080,94320538,15342787,0,62870196,41634389,6297012,8104669,5.43,154940,7.92,360,10461938,7234533,35812731,1145142,
"				  NY",N,GREATER BINGHAMTON,BGM,12/31/22,3/31/23,43539,0,264138,0,0,0,0,307677,0,23200,0,255829,0,20229,0,4397,303655,611332,167395,0,1318,41468,336864,116993,0,107350,771388,1382720,1419755,287881,398557,833428,75777,272300,3287698,4054591,7342289,-5959569,10872,-114367,2101593,52551,2735675,0,2543,4788867,-1170702,41915207,40744505,681307,21200,0,0,861717,1564224,1950729,3514207,0,5464936,29048,0,4206226,4235274,286295,0,0,603514,550963,13429,1.94529E+7,2.5,16680,22.91,19,86211,520269,36599,57152,
"				  DE",N,NEW CASTLE COUNTY,ILG,12/31/22,10/25/23,10328,0,0,0,0,0,30532,40860,0,79479,1758974,3041574,0,279530,0,200,5159757,5200617,614151,0,0,0,242977,47101,127451,70191,1101871,6302488,2355588,348630,352588,694902,0,0,3751708,6101278,9852986,-3550498,11328,0,2766855,40503,0,0,2,2818688,-731810,198515675,197783865,533160,34924,2517,38465,390431,999497,0,0,0,0,0,0,0,0,18781997,0,0,0,0,0,0,0,0,0,0,729281,2165479,177596,0,
"				  ME",N,HANCOCK COUNTY - BAR HARBOR,BHB,12/31/22,11/20/23,142453,0,42414,0,0,0,0,184867,0,0,105964,38751,0,131888,65700,15386,357689,542556,27441,200,0,0,227831,2950,0,12055,270477,813033,352345,64806,22556,204108,19404,59395,722614,0,722614,90419,14368,0,390814,0,0,0,0,405182,495601,0,0,290579,54967,0,0,45268,390814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  LA",M,NEW ORLEANS INTL,MSY,12/31/22,6/29/23,8180880,0,37068572,0,3202723,0,1874695,50326870,503428,110377,324041,502791,0,370855,0,0,1811492,52138362,1310665,6441312,4354803,3261168,12561311,24193393,0,1945074,54067726,106206088,19290149,7380259,1961783,36997189,5285455,592505,71507340,62879561,134386901,-28180813,-648005,-4.73E+07,19961849,24152258,0,0,18551430,14728002,-13452811,579628645,566175834,4145244,1671653,0,0,42176012,47992909,1110818307,61053500,0,1171871807,117345204,0,129396901,246742105,47566817,0,0,70009358,46243258,5946283,7352552017,1.11,103098,8.46,187,6968607,5818335,7385650,392276,
"				  WI",N,LA CROSSE MUNI,LSE,12/31/22,6/23/23,64630,0,780443,0,0,0,0,845073,0,220143,23124,230826,0,76523,0,0,550616,1395689,173351,21960,0,8482,501217,616746,0,593549,1915305,3310994,1015759,273162,98328,208858,60101,530481,2186689,1692413,3879102,-568108,86402,-94730,1384516,243591,-1112309,653116,-348556,812030,243922,63833973,65757049,1868,123220,0,0,768935,894023,3242665,0,0,3242665,0,0,30042826,30042826,0,0,0,497405,0,63239,84216957,2,18411,13.36,16,0,645986,318296,111506,
"				  PA",N,DUBOIS REGIONAL AIRPORT,DUJ,12/31/22,8/7/23,30321,0,155646,0,0,0,0,185967,9057,0,958484,99151,0,0,0,9202,1075894,1261861,0,17460,0,0,0,0,0,0,17460,1279321,379513,103822,29107,54053,33201,1032980,1632676,587459,2220135,-940814,434,0,1241132,25305,0,0,200725,1467596,526782,13938094,14464876,0,0,0,0,405270,405270,0,0,0,0,0,0,110894,110894,992634,0,0,0,0,0,0,0,0,0,0,0,12097,153768,7261,
