"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"	MT",S,GALLATIN FIELD,BZN,6/30/13,1/6/14,571021,0,781736,0,27836,0,0,1380593,15961,104616,43836,31209,0,116616,131193,13500,456931,1837524,595198,267778,297215,266167,2095095,1904862,0,603462,6029777,7867301,2436835,584060,723770,82813,76045,110480,4014003,3808951,7822954,44347,269044,-653486,3190891,1696972,-1886625,0,-38597,2578199,2622546,84534287,87156833,82868,53936,81934,49552,516365,784655,15510000,0,0,15510000,1855611,0,1324128,3179739,11395558,0,0,-653486,0,440203,5.25074E+8,1,14576,3.14,31,610048,747929,490896,19060,
"				  GA",N,ATHENS/BEN EPPS,AHN,6/30/13,10/28/13,5205,0,99949,0,6570,0,8610,120334,53,0,76565,291236,0,2321125,25214,0,2714193,2834527,0,13417,0,0,0,0,0,0,13417,2847944,521702,113180,1802884,26351,0,326098,2790215,331838,3122053,-274109,0,-41008,2059469,0,198193,-1791,178308,2393171,2119062,7810313,9929375,2162020,14758,0,0,9213,2185991,1070302,0,0,1070302,0,0,0,0,138265,0,325,0,0,0,0,0,0,0,0,24691,0,50012,0,
"				  GA",N,BRUNSWICK GOLDEN ISLES AIRPORT,BQK,6/30/13,5/15/14,51688,0,57750,0,294,0,0,109732,674,0,0,0,0,321422,70736,30799,423631,533363,1476815,0,0,31797,172441,9458,0,46793,1737304,2270667,834573,471402,234738,506099,190515,0,2237327,2771461,5008788,-2738121,6382,-4083,0,1295623,1695036,0,0,2992958,254837,43506601,4.262538E+7,1905681,0,0,0,12737,1918418,0,0,0,0,0,0,1611,1611,0,0,0,0,0,31891,18726,1.17,1055,3.44,12,70736,750,383358,181265,
"				  GA",N,VALDOSTA REGIONAL,VLD,6/30/13,2/26/14,47564,0,59537,0,851,0,0,107952,0,284,13430,201805,0,18028,0,19299,252846,360798,11288,917,0,1060,192715,0,0,19029,225009,585807,282381,158331,69333,306221,32412,73009,921687,0,921687,-335880,107,-22430,1389133,150649,0,0,409,1517868,1181988,0,0,1656873,0,0,0,0,1656873,0,374747,0,374747,521061,0,0,521061,0,0,0,0,0,36546,4.7564E+7,1,18362,2.95,8,0,270000,59491,2520,
"				  GA",N,SOUTHWEST GEORGIA REGIONAL,ABY,6/30/13,9/27/13,45386,0,99188,0,0,0,13277,157851,100818,2596,48000,44934,0,21631,52312,13332,283623,441474,2000,4231,0,4438,275147,72439,0,8993,367248,808722,896987,105007,452578,19547,59915,117527,1651561,0,1651561,-842839,2699,0,6620899,150512,2240349,0,0,9014459,8171620,0,0,2213622,9336431,92961,0,0,11643014,0,0,0,0,0,0,0,0,1010477,0,0,0,0,31873,1.58453E+8,0,21429,4.95,16,393165,393165,68080,0,
"				  GA",N,COLUMBUS METRO,CSG,6/30/13,12/6/13,417122,0,668367,0,0,0,341497,1426986,0,0,3011414,501806,0,98460,0,0,3611680,5038666,44831,67914,0,4843,745612,172341,0,4024,1039565,6078231,2179900,373596,292048,0,138336,2452679,5436559,2079464,7516023,-1437792,48306,-38362,162857,202988,0,0,56412,432201,-1005591,31070977,30065386,199981,7980,0,0,198703,406664,0,230000,0,230000,0,0,1550695,1550695,660023,0,4281,0,0,59497,95351625,4.38,2,23.98,34,810923,0,185628,65294,
"				  FL",S,SARASOTA/BRADENTON INTL,SRQ,9/30/13,3/4/14,479368,0,6613914,0,199516,0,0,7292798,0,0,634717,632309,0,217070,102888,0,1586984,8879782,1375386,275175,337185,402354,4008267,2622309,629,97982,9119287,17999069,9989933,811465,345454,1614043,701891,2538127,16000913,7696797,23697710,-5698641,258199,-474480,2971507,2344392,0,0,-35151,5064467,-634174,143287026,142652852,424226,2774033,121620,30179,152129,3502187,3240000,0,0,3240000,401013,0,2302537,2703550,23017346,0,0,3287925,985652,590753,687673,0.69,98923,12.34,124,1261399,1390585,5409021,1479184,
"				  GA",S,SAVANNAH INTERNATIONAL,SAV,12/31/13,4/30/14,2453067,0,5745304,0,55048,0,0,8253419,154073,0,516632,212429,0,584154,0,0,1467288,9720707,2690556,423350,569242,1451214,3257316,5260004,1271457,30658,14953797,24674504,11678613,1417700,1591362,527732,654305,1769621,17639333,10306897,27946230,-3271726,487125,-442838,5580020,3073621,0,0,533946,9231874,5960148,197435976,203396127,5184480,922716,13769,464489,238265,6823719,8209962,0,0,8209962,1501000,0,8692462,10193462,22733107,0,0,2887838,1082940,823494,1043824,2.5,84958,10.02,173,2228388,0,1740157,896055,
"				  GA",L,Hartsfield-Jackson Atlanta International,ATL,6/30/13,5/6/14,45664188,0,78810036,0,7183403,0,35786194,167443821,1480678,271297,2359203,5284157,0,8639652,0,476651,18511638,185955459,30582972,39612119,35697117,20237866,31765198,119267086,749444,26518667,304430469,490385928,8.205E+7,8768000,4353000,1.01742E+8,2922000,29728000,229563000,2.1111E+8,440673000,49712928,9102001,-1.47E+08,3.35E+7,1.80077E+8,0,0,26340072,102301073,152014001,4.468588E+9,4.620602E+9,2.8138E+7,2.23986E+8,0,2863000,4429000,259416000,3167584000,0,0,3167584000,355001000,0,534521000,889522000,718000000,0,0,2.4559504E+8,1.57237E+8,47526243,5.8237681E+10,0.81,918757,3.52,1070,31677826,23500431,101742109,2463261,
"				  GA",N,BUSH FIELD,AGS,12/31/13,7/16/14,903586,0,788145,0,160944,0,8295,1860970,0,276388,0,657157,0,3369418,58400,1010447,5371810,7232780,0,72384,0,0,1346377,2006032,0,1039220,4464013,11696793,5313547,731345,787719,530002,165213,1590537,9118363,2115957,11234320,462473,12150,-1037094,264183,1074276,0,0,0,313515,775988,76165485,76941475,190864,59045,687995,125838,293266,1357008,19605000,0,0,19605000,19175364,0,0,19175364,3838491,0,0,1037094,337904,270805,321687,2.93,26952,6.87,81,898041,1160630,310417,527148,
"				  KY",N,OWENSBORO-DAVIESS COUNTY,OWB,6/30/13,3/19/14,103642,0,16764,0,0,0,0,120406,0,0,118258,0,0,14116,10812,0,143186,263592,324651,825,0,4872,4100,77670,0,0,412118,675710,392026,43576,163722,52018,40922,0,692264,1100801,1793065,-1117355,886,-3062,1773611,0,232450,0,0,2003885,886530,29404222,30983143,3655163,0,0,0,0,3655163,0,1648237,0,1648237,0,0,0,0,0,0,0,0,0,21445,0,0,0,5.61,7,10812,5749,70108,6892,
"				  AL",N,NORTHWEST ALABAMA REGIONAL,MSL,9/30/13,5/6/14,9678,0,41335,0,0,0,0,51013,0,11821,1800100,0,0,370694,19080,0,2201695,2252708,60000,1100,0,0,7156,3438,0,0,71694,2324402,340737,70000,658000,50000,50000,0,1168737,0,1168737,1155665,15000,-35000,1678151,9779,0,0,45000,1712930,2868595,0,0,1212512,465685,0,0,0,1678197,481000,0,0,481000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AL",N,DOTHAN,DHN,9/30/13,6/14/14,37906,0,253564,0,0,0,0,291470,0,2592,146372,76230,0,58863,0,39257,323314,614784,544540,2234,3115,6397,362294,136524,0,0,1055104,1669888,870944,155567,30583,28074,34113,176759,1296040,1483908,2779948,-1110060,417,-92205,7916222,177418,401589,0,0,8403441,7293381,20171045,2.643093E+7,0,0,0,0,872918,872918,7617172,0,0,7617172,0,0,0,0,0,6000000,0,547854,370436,49614,4.2E+7,0.59,70950,5.87,24,248446,313331,69473,8900,
"				  AL",N,DANNELLY FIELD,MGM,9/30/13,3/5/14,278772,0,942843,0,6418,0,0,1228033,0,0,34262,229893,0,38993,0,0,303148,1531181,161310,46098,511,16156,911534,1334572,0,762841,3233022,4764203,2307290,618066,55923,91926,116975,664052,3854232,3566849,7421081,-2656878,21815,-543711,1463463,672591,0,0,3166,1617324,-1039554,4.527784E+7,44188286,1618788,7863,18480,0,64060,1709191,10720000,0,0,10720000,943805,0,439307,1383112,0,0,3166,780425,6161,166102,3.0000602E+8,0,60239,7.39,50,921322,69193,421604,50086,
"				  WA",N,LOPEZ ISLAND,S31,12/31/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  FL",S,PANAMA CITY-BAY CO INTL,ECP,9/30/13,3/19/14,1848997,0,938952,0,0,0,0,2787949,22053,0,171105,266341,0,31453,0,0,490952,3278901,0,221412,77324,310777,1810797,2159339,0,1878893,6458542,9737443,2873030,825223,353324,3436389,237824,402785,8128575,12671647,20800222,-11062779,5916,-1945793,4000105,1482204,0,0,8232841,11775273,712494,2.9903389E+8,299746384,121875,16009,834768,0,4801148,5773800,43197540,0,0,43197540,695,0,0,695,10544942,0,0,0,0,415486,5.03956E+8,5.95,58869,6.71,55,1207825,848499,2054619,163540,
"				  AL",S,BIRMINGHAM INTL,BHM,6/30/13,12/23/13,7715210,0,5113563,0,582857,0,0,13411630,0,0,304457,1764879,0,304626,0,0,2373962,15785592,876746,745261,643717,662791,5311216,13421952,0,95871,21757554,37543146,10231827,1907361,1114914,7664564,53389,2231832,23203887,13793059,36996946,546200,220012,-3213571,12759313,5571815,0,0,2072672,17410241,17956441,381860255,399816594,2376230,67923481,0,0,514781,70814492,207625000,0,0,207625000,24101210,0,350389340,374490550,25326144,37046896,0,5530600,0,1408170,1835261,4.15,41916,9.52,129,1960169,1769801,2231832,683212,
"				  FL",S,ST PETERSBURG/ CLEARWATER INTL,PIE,9/30/13,3/11/14,419107,0,165695,0,87620,0,136480,808902,126948,931627,849429,21912,0,196791,87600,140968,2355275,3164177,3101404,187786,78365,13242,1720240,1799088,0,70010,6970135,10134312,4444603,538414,317447,1449551,293510,1544693,8588218,3951616,12539834,-2405522,40267,0,1255833,2123873,0,0,80889,3500862,1095340,89604277,90696851,1509393,585391,0,0,276422,2371206,0,0,0,0,0,0,2807702,2807702,13754313,0,0,0,0,481104,570981625,0.95,141503,1.68,56,611922,1264769,1608953,393857,
"				  MS",N,HATTIESBURG-LAUREL REGIONAL,PIB,9/30/13,11/5/13,29730,0,54514,0,0,0,0,84244,0,0,40664,131246,0,48415,20658,0,240983,325227,89572,6873,0,1825,45779,0,0,0,144049,469276,375754,74267,159820,17650,97377,0,724868,506975,1231843,-762567,184,-44846,1057408,55664,0,0,0,1068410,305843,12074271,12865121,0,0,0,0,26816,26816,1189465,0,0,1189465,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,20954,0,81389,21183,
"				  FL",S,DESTIN-FORT WALTON BEACH AIRPORT,VPS,9/30/13,3/25/14,434221,0,548094,0,0,0,778707,1761022,0,0,0,0,0,78306,133663,88797,300766,2061788,174317,228580,0,12000,3402341,1879015,0,585294,6281547,8343335,1773838,763111,210220,1565185,125288,1211803,5649445,3902951,9552396,-1209061,-211321,-1133059,3498413,1482268,3498413,0,3080143,10214857,9005796,0,0,0,175766,749799,21240,197752,1144557,17285000,4821131,0,22106131,2223287,0,9213460,11436747,500000,0,0,1313201,514326,374431,439416194,1.01,15642,4.7,23,833193,0,380815,306285,
"				  FL",N,GAINESVILLE REGIONAL,GNV,9/30/13,1/14/14,260418,0,1081544,0,6886,0,0,1348848,0,969,216324,735929,0,291979,153622,1452,1400275,2749123,132135,43002,2400,29947,1156592,1553798,0,673675,3591549,6340672,1504103,440523,434571,1232324,192269,399761,4203551,3925206,8128757,-1788085,428,-334510,2414762,390502,0,0,0,2471182,683097,53616553,54339409,413103,2043063,0,2714687,2402363,7573216,5649577,0,0,5649577,543051,0,0,543051,0,0,0,582313,582313,203488,0,0,0,6.63,0,725006,511347,1178758,94685,
"				  FL",N,KEY WEST INTL,EYW,9/30/13,6/25/14,1331658,0,1574891,0,0,354608,0,3261157,1200,0,0,140293,0,53665,66181,0,261339,3522496,0,200957,371993,774413,1007323,514872,0,2224,2871782,6394278,1841249,430861,180459,2914818,98277,1384115,6849779,2181216,9030995,-2636717,31508,-299015,3763408,1643714,0,0,0,5139615,2502898,67048514,69551411,0,1109036,147460,0,179912,1436408,0,0,0,0,0,0,0,0,5766689,0,0,5650000,0,393906,462844618,3.19,9092,8.28,10,1934803,1195581,448181,7060,
"				  FL",N,MELBOURNE INTL,MLB,9/30/13,3/26/14,271293,0,721689,0,0,0,0,992982,0,53680,679544,2162340,0,331936,-100,998693,4226093,5219075,5809649,520306,0,25149,843705,1328528,0,124312,8651649,13870724,3624225,850069,451278,4724155,31204,4618856,14299787,4192875,18492662,-4621938,89857,0,256020,851979,4534742,0,-15980,5716618,1094680,98085874,99180554,2490116,0,0,0,1562492,4052608,0,0,0,0,0,0,0,0,27827197,0,0,0,0,211098,268313583,1.2,130143,4.7,45,1194090,1040904,749209,154469,
"				  FL",N,DAYTONA BEACH INTL,DAB,9/30/13,3/21/14,402223,0,1474047,0,223260,0,0,2099530,0,0,0,823720,0,226445,72800,0,1122965,3222495,4027117,93069,66082,35201,1141335,1508670,0,895831,7767305,10989800,2973140,905664,195956,3378089,497484,1358141,9308474,5436321,14744795,-3754995,-90818,-1441563,589235,1191752,6470215,0,-157026,6561795,2806800,96130932,98937732,1886523,6701433,0,0,0,8587956,24820000,936000,0,25756000,2195000,0,3338352,5533352,8465115,0,0,0,0,301556,332078,1.19,284942,6.96,39,872264,986288,1274157,572024,
"				  FL",N,TALLAHASSEE INTERNATIONAL,TLH,9/30/13,1/23/15,750183,0,1338653,0,226437,0,1467229,3782502,147902,0,781,306698,0,172845,255500,0,883726,4666228,810463,79219,19420,74785,1890698,2641626,0,39589,5555800,10222028,3076826,842335,193730,3700921,485109,0,8298921,3882487,12181408,-1959380,156249,-69085,3207106,1326393,0,0,-2282886,2337777,378397,111012912,111391309,2906833,771481,8475,0,1053891,4740680,0,296363,0,296363,0,0,0,0,3633754,0,0,1275000,962000,349091,485781779,1.5,64238,10.84,72,1281995,1083002,2807712,189741,
"				  FL",S,PENSACOLA GULF COAST REGIONAL,PNS,9/30/13,3/14/14,1908266,0,3219738,0,828486,0,0,5956490,0,0,142856,119273,0,0,0,0,262129,6218619,360594,296384,320488,52116,3217633,4842025,0,3424161,12513401,18732020,4705876,2287403,153829,3055917,0,2496383,12699408,9696954,22396362,-3664342,27982,-3203952,9617131,2956686,0,0,-39857,9357990,5693648,0,0,21459,28835,2386002,89769,2911104,5437169,56585344,18100000,0,74685344,5338700,0,3148333,8487033,13502036,0,0,2500000,0,758158,955994,2.23,102502,7.86,61,736137,1124326,1948283,444779,
"				  AL",N,MOBILE REGIONAL,MOB,9/30/13,3/29/14,773921,0,3119395,0,127289,0,303952,4324557,238811,0,214188,783902,0,0,128539,4200,1369640,5694197,4530970,0,125838,59914,1766193,1744256,0,130731,8357902,14052099,5589982,1001274,218326,2435136,781708,1731462,11757888,6213427,17971315,-3919216,21254,-1056749,3518218,667002,1094286,0,2121,4246132,326916,82232332,82559245,1844664,1466400,21124,511029,986053,4829270,17361025,0,0,17361025,7073757,0,7598033,14671790,2590536,0,0,1475023,0,296936,492596102,2.15,162110,14.56,105,717099,992025,749121,519947,
"				  TN",N,TRI-CITIES REGIONAL TN/VA,TRI,6/30/13,6/4/14,533275,0,813060,0,43160,0,0,1389495,11614,0,326812,60236,0,130991,0,565180,1094833,2484328,261751,0,217357,0,822556,1868305,0,331788,3501757,5986085,2965792,617083,384559,960518,714481,27405,5669838,3510733,9180571,-3194486,21939,-258189,7570000,771260,381681,0,381681,8868372,5673886,0,0,356355,27746,0,7011036,105006,7500143,3195000,0,1155000,4350000,1058760,0,104006,1162766,0,0,0,619673,429143,204464,249177,2.17,47551,6.8,0,1130360,0,712085,509182,
"				  NC",L,CHARLOTTE/DOUGLAS INTL,CLT,6/30/13,5/12/14,17308264,0,3.719579E+7,0,565500,5868625,0,60938179,267724,34920,17375582,1597245,0,38485,640747,7066000,27020703,87958882,4118514,21212918,7324003,3417781,11314415,4.287348E+7,0,0,90261111,178219993,20711508,8731194,18581866,28880226,1542377,9410826,87857997,3.8317E+7,126174997,52044996,-662000,-3.01E+07,4.0475E+7,5.6111E+7,0,0,-11768000,54068000,106112996,1064745,1170858,2.2171E+7,6.0837E+7,0,0,377500,83385500,734102000,53731000,1.1491E+8,902743000,330164000,0,23048000,353212000,370443000,0,0,1.02108E+8,79776395,21107705,24954667666,0.72,554197,2.89,314,2885894,4556773,18581866,0,
"				  PR",N,EUGENIO MARIA DE HOSTOS,MAZ,6/30/13,6/18/14,4567,0,50682,0,6843,0,0,62092,0,0,1154,0,0,50,0,0,1204,63296,0,0,8706,452,0,0,0,0,9158,72454,534683,55930,11098,101082,58070,26579,787442,229667,1017109,-944655,40070,73582,0,0,0,0,0,113652,-831003,0,0,0,0,0,0,0,0,0,3683,0,3683,0,0,0,0,0,4519,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  PR",N,MERCEDITA,PSE,6/30/13,6/18/14,116273,0,546221,0,12604,0,0,675098,0,0,2047,0,0,85557,0,0,87604,762702,0,0,226475,405,0,0,0,2717,229597,992299,1675938,698181,34399,612776,776023,95932,3893249,1635348,5528597,-4536298,69298,508198,6316181,0,0,0,0,6893677,2357379,0,0,0,0,0,0,0,0,0,6373,0,6373,0,0,0,0,0,20418,0,0,0,0,0,0,0,0,0,0,0,0,0,
