"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"	MT",S,GALLATIN FIELD,BZN,6/30/13,1/6/14,571021,0,781736,0,27836,0,0,1380593,15961,104616,43836,31209,0,116616,131193,13500,456931,1837524,595198,267778,297215,266167,2095095,1904862,0,603462,6029777,7867301,2436835,584060,723770,82813,76045,110480,4014003,3808951,7822954,44347,269044,-653486,3190891,1696972,-1886625,0,-38597,2578199,2622546,84534287,87156833,82868,53936,81934,49552,516365,784655,15510000,0,0,15510000,1855611,0,1324128,3179739,11395558,0,0,-653486,0,440203,5.25074E+8,1,14576,3.14,31,610048,747929,490896,19060,
"				  MT",N,MISSOULA INTL,MSO,6/30/13,10/31/13,640887,0,1146816,0,0,0,256000,2043703,69993,81269,210646,262000,0,114745,85160,94047,917860,2961563,212099,108569,171634,236888,1128836,1374270,0,74270,3306566,6268129,2624753,481061,510793,580326,103803,23734,4324470,4757264,9081734,-2813605,30558,-283989,2276814,1231459,0,-572440,0,2682402,-131203,61737263,6.160606E+7,2098203,1195835,0,0,40233,3334271,2290883,2700000,0,4990883,2328297,0,687876,3016173,3564935,0,1116704,1599128,0,303295,0,1.85,36142,6.74,28,395447,395447,673245,70923,
"				  OR",N,ROBERTS FIELD,RDM,6/30/13,7/1/14,761904,0,668447,0,0,0,0,1430351,38344,0,33852,280616,0,141397,99581,32467,626257,2056608,699239,71755,26445,163389,637124,1689375,0,115431,3402758,5459366,1426827,401250,207703,1696310,921,52239,3785250,2372071,6157321,-697955,2980,-1562298,5426486,883003,0,0,0,4750171,4052216,67027709,71079925,5569859,0,0,0,0,5569859,27390000,1476761,0,28866761,2208557,0,10588,2219145,1132837,0,0,702488,-180515,236100,2.6935575E+8,3.4,44028,6.06,17,315443,457176,146770,25457,
"				  UT",N,WENDOVER,ENV,12/31/13,6/26/14,71146,0,174033,0,5090,0,532065,782334,0,0,0,9500,25457,175691,0,92975,303623,1085957,123198,2840,0,0,0,0,0,19704,145742,1231699,645311,70778,162846,0,66123,0,945058,0,945058,286641,172,0,2899756,0,0,0,0,2899928,3186569,0,0,2901172,0,0,0,0,2901172,0,144001,0,144001,0,0,0,0,0,0,0,0,0,51599,5.6964E+7,1.25,5422,15.16,0,0,0,0,0,
"				  FL",L,MIAMI INTL,MIA,9/30/13,3/6/14,47572283,0,335235394,0,13322766,0,9200000,405330443,1.307753E+7,30744,0,39951314,0,22727238,0,15868244,91655070,496985513,20079125,25423735,5.250388E+7,46508766,46692386,4.756317E+7,10647083,18054603,267472748,764458261,137381946,4.835624E+7,2.258681E+7,162524088,10787864,3036505,384673453,2.6372421E+8,648397663,116060598,9151,-307176955,0,72649709,42271759,0,25708192,-166538144,-50477546,1.121232E+9,1.070754E+9,9487915,78351616,91655,3749266,13206882,104887334,6129125000,28345000,0,6157470000,398286000,0,428150000,826436000,264140000,7.76515E+8,0,3.72029E+8,3.22029E+8,19877691,34438378,1.75,393355,20.39,1173,44035749,19501464,59493341,1539700,
"				  FL",L,ORLANDO INTL,MCO,9/30/13,3/28/14,29302144,0,79412319,0,3897845,4837028,0,117449336,1313671,0,3227367,5481453,0,868316,848443,4652048,16391298,133840634,2153852,17394999,19071029,13115597,89213072,5.614426E+7,3.238458E+7,14539430,244016819,377857453,57602899,19626299,4949835,119556616,4343208,3183480,209262337,117914579,327176916,50680537,2392986,-55458984,734872,67010663,21693388,0,2054523,38427448,89107985,1595515237,1684623222,16151199,44161423,244376,195256,3297247,64049501,1071678000,5000000,4.1345E+7,1118023000,148627000,0,0,148627000,253003000,8.281E+7,150000,178137207,102313173,17427267,2.075384E+7,1.44,292740,6.74,629,19029742,7053487,41728455,521888,
"				  FL",L,TAMPA INTL,TPA,9/30/13,1/28/14,1.348779E+7,0,37119785,0,14606,412542,-7338197,43696526,502400,0,2784446,3081041,0,229676,982389,1297121,8877073,52573599,4010807,11772985,5323181,4680921,36330846,5.649015E+7,1382760,1138215,121129865,173703464,44604686,12173417,2774159,31572174,2924194,2995548,97044178,89084941,186129119,-12425655,-325254,-29328915,24835756,33185837,0,-412465,8218158,36173117,23747462,712759675,736507137,2469995,40155046,7432997,582868,2950014,53590920,541165000,118207535,0,659372535,85978083,0,114694544,200672627,52552877,0,202413,8.561498E+7,54837985,8493260,10042234,1.41,185949,5.14,565,1.097939E+7,4170685,30553572,748263,
"				  FL",L,FORT LAUDERDALE/ HOLLYWOOD INTL,FLL,9/30/13,1/14/14,28120111,0,16709651,0,177383,4069114,0,49076259,1205887,1031621,5365516,2878992,0,622553,1437113,-328725,12212957,61289216,5405194,10322508,7304362,3437549,2.516509E+7,43549087,0,28984783,124168573,185457789,32586156,9476529,3064872,71496614,5407784,3628338,125660293,59047066,184707359,750430,1444448,-49053964,61225353,48641918,0,0,1434328,63692083,64442513,1178610756,1.24305327E+9,210458197,47184916,1029080,0,29261844,287934037,1181220000,0,0,1181220000,224972260,0,441491617,666463877,116022524,0,49492,102362512,62124094,11794271,1.390323E+10,2.11,247932,4.16,489,16096103,9107955,1881225,463562,
"				  FL",M,PALM BEACH INTL,PBI,9/30/13,4/11/17,4065960,0,15749779,0,1294035,0,99579,21209353,257969,992173,0,1556566,0,1473745,211502,176143,4668098,25877451,7718135,1612253,2577539,394913,10798186,14748079,0,1646695,39495800,65373251,1.062122E+7,3791897,640038,17966535,2208027,4545585,39773302,28586881,68360183,-2986932,-322868,-5802100,6281814,11679691,0,0,-236137,11600400,8613468,384285029,392898497,8495128,5214565,124820,0,2242289,16076802,110080000,0,1115723,111195723,13220549,0,58531586,71752135,63525337,0,0,0,0,2830273,3375723,1.37,51098,7.49,148,7449312,4809367,5598221,9123,
"				  FL",M,JACKSONVILLE INTL,JAX,9/30/13,4/1/14,8860663,0,9863712,0,1210123,0,549,19935047,999015,331669,705460,872471,0,231841,0,36649,3177105,23112152,1786697,1972398,1679123,674489,10050847,18678892,0,8917366,43759812,66871964,20138371,5244099,3596492,12268644,1044475,2284455,44576536,27811671,72388207,-5516243,659296,-7273363,11988705,10310058,0,0,1584844,17269540,11753297,441592066,453345342,9064623,1990934,57806,2437376,13074042,26624781,157035000,0,0,157035000,8985156,0,10342140,19327296,53654414,0,427973,17002623,10905737,2563570,3592920,2.55,90559,7.78,249,5063338,3184249,1811061,1409106,
"				  FL",M,SOUTHWEST FLORIDA INTL,RSW,9/30/13,3/31/14,11610159,0,20647298,0,2112016,0,-3932127,30437346,331592,92094,769861,1120780,0,1898853,0,1824942,6038122,36475468,5518550,2782319,2756281,808327,18933446,12310248,0,4263793,47372964,83848432,32168195,4266480,3481282,18658703,1733180,2142229,62450069,19714835,82164904,1683528,425032,-16852082,330729,1.51971E+7,11041702,-165184,4919,9982216,11665744,497310764,508976508,25481999,1734694,3777393,2362737,462883,33819706,315870000,13157000,0,329027000,8471818,0,36337670,44809488,116026407,0,97000,24930211,24930211,3856646,4401652,2.65,80847,7.89,355,5215508,4545845,14059389,532569,
